rainfall_mm,river_level_m,drainage_capacity,soil_saturation,upstream_flow,elevation,slope,distance_river_km,past_rain_3day,past_rain_7day,humidity,month,flood
57.38,2.43,0.381,0.41,3433.5,425.8,3.34,1.437,260.94,1479.55,62.4,1,0
35.16,2.68,0.26,0.415,121.4,118.5,7.06,0.947,70.74,391.24,99.8,2,0
62.67,5.8,0.873,0.589,279.7,300.2,13.84,0.606,278.51,742.0,58.8,3,0
93.31,3.79,0.463,0.445,2668.1,428.1,4.46,2.014,230.51,620.89,51.0,3,0
31.8,3.35,0.459,0.101,963.3,205.0,13.58,0.906,154.53,604.15,94.8,8,0
31.81,7.92,0.253,0.759,3166.3,466.1,0.8,1.029,125.13,513.46,79.0,4,0
95.27,7.99,0.445,0.777,2765.4,451.6,1.25,0.1,275.99,928.59,67.6,1,1
66.86,9.98,0.884,0.772,2932.9,104.9,10.48,1.779,166.04,539.91,75.7,2,0
23.57,5.3,0.427,0.411,1519.3,130.2,2.86,0.26,54.76,204.0,63.0,9,0
58.99,1.34,0.956,0.57,3202.8,91.0,4.75,0.481,229.04,1090.68,81.7,2,0
23.78,3.65,0.952,0.424,4149.2,98.8,2.05,2.525,110.23,257.67,80.8,12,0
23.7,11.77,0.23,0.114,4990.4,454.0,4.98,0.752,98.17,475.37,54.0,9,1
48.47,7.36,0.26,0.606,4193.8,465.6,4.21,0.356,214.32,1222.67,95.5,5,0
26.96,8.66,0.876,0.211,2791.9,26.9,11.05,1.723,114.19,577.13,73.0,4,0
20.37,0.58,0.453,0.172,975.2,297.2,10.53,0.484,100.37,277.7,59.8,4,0
20.32,6.46,0.104,0.78,3410.4,282.6,14.32,0.632,84.37,198.27,65.4,3,0
4.55,0.93,0.346,0.109,4688.9,195.9,10.87,1.942,10.17,40.31,93.3,2,0
51.0,7.05,0.638,0.963,1067.2,316.2,10.42,2.693,217.79,1268.79,69.2,8,0
8.22,11.09,0.819,0.564,1287.4,473.7,10.41,2.692,21.59,113.93,78.1,6,0
9.43,11.64,0.22,0.985,753.6,86.0,13.24,1.317,47.01,199.86,97.4,9,1
91.3,6.72,0.199,0.152,3686.2,61.1,4.44,1.211,257.31,661.78,82.6,2,1
32.1,5.77,0.93,0.625,2038.7,17.7,4.5,3.099,81.04,393.48,83.8,12,0
42.36,11.37,0.776,0.414,322.9,182.6,11.12,0.429,99.01,520.02,62.4,1,0
9.87,8.25,0.631,0.859,4376.0,169.5,3.43,0.33,37.54,215.48,83.4,8,0
20.95,1.25,0.792,0.425,2792.8,216.0,13.68,2.185,39.43,175.39,69.7,8,0
43.88,5.86,0.486,0.334,1662.2,252.2,8.02,1.054,212.28,861.4,95.6,5,0
0.28,3.26,0.783,0.872,1726.5,379.2,4.5,2.476,0.72,3.23,56.5,2,0
53.15,5.9,0.435,0.437,1458.4,196.7,11.64,0.593,134.68,777.48,64.3,10,0
18.98,5.74,0.32,0.115,2282.8,166.0,4.68,0.786,31.53,142.26,53.3,5,0
29.79,7.19,0.756,0.451,1691.8,413.6,14.45,4.54,70.34,213.15,69.0,8,0
18.94,4.6,0.478,0.689,2744.3,425.0,14.74,1.095,56.18,255.34,57.4,4,0
104.83,2.39,0.983,0.329,3869.9,117.2,10.0,1.788,292.85,1616.26,92.3,2,0
39.53,6.29,0.415,0.489,3375.6,158.0,1.7,0.226,97.06,414.26,96.3,3,0
2.98,10.05,0.93,0.151,1479.3,412.7,3.95,0.394,4.9,19.63,83.5,3,0
68.79,8.14,0.94,0.629,2648.4,40.6,7.73,0.1,175.55,866.08,55.2,9,1
2.73,4.39,0.318,0.781,4202.2,163.6,12.77,1.105,11.53,53.54,67.1,12,0
47.31,11.26,0.818,0.472,350.3,224.7,2.77,9.005,143.62,319.81,98.2,3,0
28.59,10.99,0.49,0.478,400.7,94.3,1.57,4.141,71.98,352.78,56.8,1,0
6.49,2.91,0.926,0.179,2785.3,90.8,1.12,2.004,16.65,60.44,77.8,7,0
46.89,0.95,0.505,0.282,3199.2,213.0,7.6,3.948,161.33,929.82,67.6,1,0
65.85,9.03,0.77,0.239,1065.0,377.5,13.27,1.804,168.44,990.95,100.0,6,0
46.0,10.02,0.52,0.534,3728.6,420.3,0.64,0.92,170.55,647.23,64.3,10,0
35.95,11.63,0.305,0.576,3234.9,489.6,3.18,0.381,178.43,1048.34,52.4,4,0
29.46,10.73,0.279,0.954,4617.2,37.9,10.4,2.117,48.44,157.1,85.1,7,1
11.75,7.41,0.483,0.166,853.1,109.1,12.39,0.429,24.56,116.19,66.3,7,0
14.81,6.6,0.78,0.64,3759.4,378.6,12.11,1.081,31.49,72.43,82.9,7,0
23.88,0.82,0.645,0.574,427.4,270.8,11.78,3.495,73.18,188.8,55.2,6,0
77.0,3.34,0.72,0.565,2830.8,164.5,1.95,0.277,126.66,691.33,76.2,7,0
52.03,5.79,0.354,0.886,2764.0,103.6,5.96,0.276,164.99,919.86,68.8,8,1
21.71,7.73,0.533,0.285,1948.0,141.0,14.77,0.508,103.13,425.98,76.8,3,0
51.34,6.91,0.14,0.137,4224.4,215.2,14.83,1.606,79.09,265.68,92.7,5,0
26.52,9.04,0.836,0.705,31.8,89.4,9.04,0.58,73.66,280.21,98.6,10,0
16.31,3.72,0.991,0.411,2605.7,482.1,10.64,1.399,67.89,371.94,87.7,11,0
61.41,7.0,0.466,0.116,1093.6,54.7,14.27,0.719,125.32,356.4,88.3,9,0
76.08,1.51,0.11,0.326,3720.1,492.8,6.75,1.411,134.78,428.53,76.4,8,0
72.59,5.26,0.253,0.378,224.9,421.1,2.05,0.65,269.16,1383.97,54.9,6,0
10.63,9.13,0.687,0.655,4159.5,212.2,10.03,7.825,16.31,93.64,83.4,9,1
29.18,8.47,0.651,0.255,4192.1,370.2,14.4,1.357,125.64,297.99,57.4,10,0
51.59,11.89,0.809,0.472,4166.0,336.1,10.46,2.722,89.46,466.56,62.3,5,1
74.14,3.7,0.328,0.534,771.3,107.4,12.05,2.412,247.29,1132.65,85.4,2,0
23.23,6.23,0.787,0.513,3155.7,170.2,6.34,1.349,95.02,277.74,82.8,9,0
33.5,4.29,0.719,0.977,81.7,257.0,1.45,0.546,78.63,394.98,65.7,5,0
1.28,5.57,0.391,0.141,4241.3,319.3,2.53,1.43,2.38,11.69,88.6,8,0
1.87,10.35,0.591,0.956,3617.6,271.9,14.74,2.285,3.95,10.14,97.0,8,0
68.44,8.37,0.233,0.624,2660.5,237.0,7.4,1.232,307.38,1232.3,77.3,4,1
87.47,10.65,0.507,0.816,3655.7,222.1,0.18,0.171,347.27,1747.87,83.9,4,1
37.48,2.84,0.893,0.487,480.7,249.6,14.33,0.1,82.21,227.4,63.6,1,0
75.12,10.54,0.479,0.508,2648.0,217.7,7.47,0.795,300.98,1159.08,98.5,5,0
52.66,1.19,0.856,0.891,1463.5,271.1,12.54,0.326,209.58,520.39,63.7,9,0
17.42,10.72,0.631,0.906,4863.4,444.1,8.23,4.733,86.97,280.67,94.4,12,1
52.65,4.28,0.273,0.315,4287.0,316.8,1.53,0.387,151.13,434.0,96.4,5,0
93.83,4.12,0.623,0.279,3669.0,361.6,9.23,1.003,424.77,1707.71,86.0,5,0
38.75,6.39,0.555,0.547,4669.4,299.1,14.96,2.49,118.66,304.35,90.6,6,0
94.76,11.32,0.459,0.91,1740.7,321.9,0.52,3.379,439.9,1554.0,72.9,6,1
51.69,1.05,0.208,0.39,4505.4,289.6,12.63,1.299,94.11,291.8,96.0,8,0
68.77,4.55,0.475,0.687,1632.9,14.4,3.53,0.4,145.34,724.43,87.1,1,0
43.05,10.35,0.165,0.737,3666.7,499.8,5.91,0.632,192.63,924.35,66.3,5,0
29.53,5.05,0.189,0.801,3684.7,17.8,5.59,1.086,128.99,306.97,51.7,9,1
43.21,2.79,0.474,0.608,101.6,198.2,13.48,0.907,111.01,645.41,77.0,3,0
29.56,5.39,0.375,0.462,1811.7,53.5,7.57,0.857,106.1,528.26,92.0,11,0
32.31,4.93,0.933,0.97,107.0,49.4,6.71,0.283,91.75,409.54,93.0,7,0
52.5,11.03,0.438,0.65,4985.5,397.0,12.27,4.891,80.64,315.38,91.8,7,1
91.73,9.26,0.782,0.756,619.8,213.5,0.73,0.1,145.97,395.83,60.7,12,0
21.86,6.31,0.577,0.41,2718.6,400.8,1.3,1.16,36.94,216.04,71.3,12,0
11.7,11.87,0.734,0.703,3954.9,137.1,0.33,7.856,41.89,85.09,80.7,10,0
22.44,5.85,0.334,0.332,1014.3,129.0,10.32,2.156,55.59,265.15,83.4,3,0
72.04,1.17,0.948,0.321,2430.4,126.4,7.88,0.878,144.35,581.71,66.7,7,0
51.51,3.52,0.577,0.743,3041.1,308.5,13.14,0.316,246.92,1385.3,84.6,3,0
21.46,5.51,0.848,0.569,809.4,407.7,7.48,6.641,41.3,145.49,79.5,6,0
57.96,2.3,0.429,0.715,3895.0,226.7,3.33,0.1,223.68,911.4,78.3,8,0
43.4,11.4,0.19,0.342,1503.7,190.2,12.08,2.288,200.91,998.41,83.2,8,1
73.9,9.32,0.706,0.639,1063.0,486.8,4.41,4.243,153.23,335.61,80.2,6,0
15.43,3.59,0.107,0.5,2795.9,59.3,14.04,0.1,34.74,77.04,58.3,2,0
28.53,7.29,0.528,0.637,2057.5,243.8,3.76,2.583,100.1,284.95,93.7,1,0
26.28,8.8,0.274,0.362,4602.2,204.8,2.52,13.515,86.17,222.82,62.0,3,0
11.22,11.32,0.665,0.744,4401.5,50.0,7.4,2.041,37.3,75.56,87.2,3,0
50.36,10.64,0.981,0.825,2421.9,134.8,0.76,1.071,173.32,778.56,58.8,7,1
49.14,6.42,0.518,0.334,1802.7,15.2,0.55,4.149,237.07,1228.91,83.0,4,0
40.18,9.41,0.836,0.371,1634.3,438.6,7.44,1.616,67.84,395.4,94.8,2,0
31.79,6.96,0.557,0.695,1345.1,304.3,3.23,2.768,132.29,497.9,50.5,2,0
9.54,6.86,0.546,0.726,2727.3,407.7,0.14,1.772,22.07,68.83,99.0,12,0
25.28,1.82,0.937,0.734,4026.8,261.3,4.44,0.1,70.98,387.22,51.5,7,0
28.0,1.95,0.901,0.714,1560.7,300.2,7.16,0.479,50.76,272.96,50.6,8,0
11.92,6.59,0.807,0.454,958.6,350.7,5.91,0.164,36.47,164.1,92.9,11,0
34.36,3.59,0.367,0.455,2382.7,454.1,2.03,0.226,148.23,458.43,85.4,5,0
54.14,0.74,0.591,0.329,354.5,46.8,8.7,0.1,99.92,562.98,55.3,2,0
106.02,8.81,0.302,0.241,3509.4,166.1,10.65,1.093,261.29,709.04,96.9,3,1
46.11,0.87,0.5,0.723,2596.6,354.8,10.13,0.394,129.37,281.33,83.6,1,0
49.01,7.35,0.536,0.184,2486.9,479.2,5.91,3.872,91.35,473.76,55.6,10,0
37.39,6.7,0.848,0.944,1509.2,490.4,2.06,2.773,155.86,663.14,93.0,4,0
27.16,11.64,0.906,0.844,4524.3,319.4,7.49,1.703,115.53,344.97,74.0,7,0
39.07,6.07,0.473,0.872,461.5,97.6,13.36,1.343,172.92,809.88,63.9,10,0
42.11,1.23,0.116,0.916,4350.4,60.5,7.03,0.591,149.22,756.06,91.3,12,0
126.21,6.84,0.876,0.468,1889.8,473.1,2.94,1.289,413.39,2223.3,86.9,9,0
33.27,10.17,0.257,0.862,4404.3,217.5,1.4,2.05,80.47,251.76,81.2,3,1
50.55,11.96,0.66,0.242,3646.5,98.2,14.16,3.049,191.75,403.14,94.9,4,1
