rainfall_mm,past_rain_3day,past_rain_7day,soil_moisture,ndvi,elevation,slope,river_distance_km,temperature,humidity,month,landslide
14.23,51.05,184.8,0.3541,0.1492,1433.0,34.98,3.928,22.4,48.4,1,0
83.51,324.55,684.16,0.4022,0.1054,1298.6,49.8,0.612,31.8,72.8,1,1
71.64,130.63,587.81,0.4368,0.4604,781.3,38.76,1.277,32.3,83.2,1,0
48.28,171.76,549.76,0.3883,0.8243,2204.0,10.0,3.266,24.7,67.6,1,0
21.43,76.3,324.81,0.4913,0.4689,1772.9,16.13,1.974,17.0,61.7,1,0
60.02,148.39,654.68,0.3734,0.1085,3056.8,18.16,4.025,30.5,77.4,1,0
1.67,2.96,9.96,0.2841,0.2556,306.0,20.47,9.749,29.8,54.9,1,0
56.92,226.24,470.37,0.3776,0.3173,2324.8,38.92,0.372,29.9,60.6,1,0
53.2,167.0,559.11,0.3435,0.4023,2717.7,35.24,3.709,10.4,79.3,1,0
26.22,103.71,354.02,0.4066,0.05,2706.3,17.19,0.785,28.8,62.0,1,0
58.48,158.43,622.78,0.4023,0.7759,3124.0,9.05,1.606,31.3,72.2,1,0
18.82,46.83,90.39,0.199,0.4169,2605.8,15.29,0.1,25.1,56.1,1,0
1.63,3.44,10.53,0.3368,0.6273,3261.8,64.06,0.438,28.8,59.4,1,0
54.45,215.57,925.11,0.452,0.05,1297.8,33.11,1.156,29.4,81.7,1,0
27.87,59.45,266.14,0.3476,0.1374,1860.6,57.04,1.256,22.7,55.4,1,0
45.05,70.25,162.74,0.3662,0.4602,246.5,55.93,6.895,30.3,72.0,1,0
75.52,210.05,871.82,0.455,0.6792,223.0,35.69,4.062,29.8,72.9,1,0
11.95,29.18,64.04,0.2941,0.4647,992.4,47.4,10.746,32.9,37.6,1,0
26.42,56.89,231.6,0.4693,0.6995,532.7,16.57,2.742,33.0,46.7,1,0
69.24,213.72,544.7,0.3005,0.6148,1058.7,46.3,0.83,23.2,74.2,1,0
46.72,112.63,494.54,0.334,0.0978,784.2,21.34,1.191,10.8,72.1,1,0
12.51,31.34,115.26,0.2683,0.2333,294.1,54.92,1.156,10.5,58.6,1,0
6.13,9.54,27.46,0.3949,0.6043,3200.7,10.02,1.186,33.5,58.0,1,0
16.8,49.94,127.78,0.2932,0.5116,227.1,51.39,3.353,18.4,75.8,1,0
11.54,20.83,50.74,0.3221,0.261,2629.1,11.0,2.27,19.4,57.7,1,0
35.94,73.11,265.99,0.3291,0.3902,702.1,57.87,1.46,21.7,58.7,1,0
31.96,105.25,444.0,0.4184,0.4457,3210.4,23.25,0.484,16.6,58.6,1,0
36.98,84.44,324.09,0.3638,0.7164,3146.2,44.26,0.1,24.8,74.2,1,0
8.98,17.14,69.47,0.3265,0.0572,2357.9,34.25,0.741,29.6,42.5,1,0
28.23,83.1,324.9,0.4289,0.1906,2418.4,26.98,0.341,16.4,68.4,1,0
21.39,43.58,193.65,0.3605,0.3742,217.6,43.73,4.618,28.6,56.5,1,0
33.63,73.22,281.61,0.3192,0.6725,3450.1,61.85,0.358,26.8,53.4,1,0
59.39,181.33,429.32,0.4009,0.5539,3096.8,7.48,3.865,23.1,56.2,1,0
5.62,18.81,74.08,0.4357,0.8393,3153.9,60.13,1.462,18.1,63.5,1,0
42.09,140.96,376.3,0.403,0.7105,2375.5,41.54,0.229,31.8,55.8,1,0
14.73,39.84,178.85,0.3431,0.4767,1337.8,53.44,5.026,20.1,54.9,1,0
50.06,131.96,371.73,0.3053,0.3342,3149.0,28.03,2.6,19.4,57.2,1,0
33.97,117.84,305.27,0.3969,0.4264,1162.0,33.31,0.807,26.0,75.9,1,0
40.12,79.54,194.55,0.3823,0.5827,2056.9,57.13,6.752,33.0,62.8,1,0
31.62,59.47,212.77,0.3579,0.7574,529.1,29.89,0.139,22.7,48.7,1,0
63.21,199.85,418.67,0.3889,0.8001,3242.5,37.08,0.676,28.1,65.5,1,0
38.69,97.64,427.13,0.5265,0.5884,664.5,6.21,4.184,21.4,72.8,1,0
12.37,40.5,105.08,0.3636,0.5545,942.2,14.52,3.707,15.5,45.9,1,0
32.47,69.53,180.62,0.3979,0.0684,2041.8,43.5,1.024,13.1,56.8,1,0
20.78,48.05,92.46,0.3217,0.146,2721.5,48.02,0.192,13.4,65.7,1,0
34.06,127.45,314.07,0.3558,0.143,2243.9,39.96,5.857,10.5,63.0,1,0
19.51,49.83,146.05,0.3606,0.05,966.0,13.6,1.129,23.8,46.1,1,0
13.08,38.95,108.98,0.315,0.4315,203.1,31.72,0.653,13.3,55.7,1,0
34.98,61.81,156.81,0.3286,0.3712,2698.6,26.31,2.177,31.6,59.3,1,0
31.4,61.13,116.76,0.3464,0.4526,3451.2,34.74,7.231,34.6,59.8,1,0
56.6,89.98,234.99,0.321,0.4184,2872.7,57.22,0.134,22.4,74.6,1,1
19.63,50.27,196.11,0.35,0.5333,1718.7,51.55,4.355,21.2,57.8,1,0
19.52,77.54,231.43,0.35,0.4452,3182.4,10.04,2.549,18.7,55.1,1,0
20.91,77.03,199.13,0.3879,0.393,1552.5,58.42,1.662,26.0,55.1,1,0
10.66,32.85,86.17,0.2866,0.7743,1932.3,33.31,4.089,25.2,61.8,1,0
40.39,147.55,486.46,0.2967,0.1223,1774.5,49.63,10.129,18.6,56.4,1,0
11.85,35.36,92.52,0.3029,0.8267,1677.2,13.4,0.781,18.6,36.2,1,0
5.29,12.82,44.9,0.3288,0.3115,2758.1,45.24,0.465,26.1,49.8,1,0
